Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s
0.0,2e+17,2e+17,2e+17,2e+17,2.000000000000015e+17,2.000000000004885e+17,2.000000000242209e+17,2.000000004037949e+17,2.0000000337340538e+17,2.0000001769412493e+17,2.0000006682833837e+17,2.0000019848463725e+17,2.000004918652956e+17,2.000010598445968e+17,2.000020454442461e+17,2.0000361381068304e+17,2.0000594175212026e+17,2.0000920686337005e+17,2.0001357775342883e+17
0.0033333333333333335,2e+17,2e+17,2e+17,2e+17,2.000000000000015e+17,2.000000000004885e+17,2.000000000242209e+17,2.000000004037949e+17,2.0000000337340538e+17,2.0000001769412493e+17,2.0000006682833837e+17,2.0000019848463725e+17,2.000004918652956e+17,2.000010598445968e+17,2.000020454442461e+17,2.0000361381068304e+17,2.0000594175212026e+17,2.0000920686337005e+17,2.0001357775342883e+17
0.006666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000154e+17,2.0000000000049325e+17,2.0000000002438595e+17,2.0000000040583053e+17,2.0000000338648298e+17,2.0000001774847206e+17,2.0000006699485754e+17,2.0000019889363805e+17,2.000004927169098e+17,2.0000106140721267e+17,2.0000204804185178e+17,2.000036178028747e+17,2.0000594751126864e+17,2.000092147527262e+17,2.0001358810865347e+17
0.01,2e+17,2e+17,2e+17,2e+17,2.000000000000016e+17,2.000000000005028e+17,2.0000000002471712e+17,2.0000000040991085e+17,2.0000000341268224e+17,2.0000001785730835e+17,2.0000006732824176e+17,2.0000019971232778e+17,2.0000049442131645e+17,2.000010645342451e+17,2.0000205323958266e+17,2.0000362579054707e+17,2.0000595903362694e+17,2.0000923053623277e+17,2.000136088245562e+17
0.013333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000166e+17,2.000000000005172e+17,2.0000000002521642e+17,2.00000000416054e+17,2.0000000345209114e+17,2.000000180209181e+17,2.000000678291835e+17,2.0000020094208365e+17,2.0000049698087344e+17,2.000010692292967e+17,2.000020610424795e+17,2.0000363778028e+17,2.0000597632731978e+17,2.0000925422347968e+17,2.0001363991204512e+17
0.016666666666666666,2e+17,2e+17,2e+17,2e+17,2.0000000000000176e+17,2.000000000005366e+17,2.0000000002588688e+17,2.0000000042428742e+17,2.0000000350484218e+17,2.0000001823972848e+17,2.000000684987227e+17,2.000002025849736e+17,2.0000050039912035e+17,2.0000107549777517e+17,2.000020714581073e+17,2.0000365378194717e+17,2.0000599940453792e+17,2.000092858288555e+17,2.000136813874858e+17
0.02,2e+17,2e+17,2e+17,2e+17,2.0000000000000186e+17,2.0000000000056118e+17,2.0000000002673264e+17,2.0000000043464768e+17,2.0000000357111248e+17,2.0000001851431053e+17,2.0000006933824864e+17,2.000002046437589e+17,2.0000050468078218e+17,2.000010833468971e+17,2.0000208449656013e+17,2.0000367380872115e+17,2.000060282815433e+17,2.0000932537155178e+17,2.000137332727047e+17
0.023333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000202e+17,2.0000000000059117e+17,2.0000000002775885e+17,2.0000000044718086e+17,2.0000000365112445e+17,2.0000001884538022e+17,2.000000703495022e+17,2.0000020712189773e+17,2.000005098317739e+17,2.0000109278569392e+17,2.0000210017046717e+17,2.0000369787707978e+17,2.0000606297867498e+17,2.000093728755689e+17,2.0001379559499462e+17
0.02666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000022e+17,2.0000000000062678e+17,2.000000000289718e+17,2.0000000046194262e+17,2.000000037451462e+17,2.0000001923380013e+17,2.0000007153457853e+17,2.0000021002354944e+17,2.0000051585920627e+17,2.0000110382501894e+17,2.0000211849500074e+17,2.000037260068143e+17,2.000061035203573e+17,2.0000942836972333e+17,2.0001386838712093e+17
0.030000000000000002,2e+17,2e+17,2e+17,2e+17,2.000000000000024e+17,2.0000000000066838e+17,2.000000000303789e+17,2.0000000047899843e+17,2.0000000385349267e+17,2.0000001968058106e+17,2.0000007289593046e+17,2.000002133535797e+17,2.0000052277139302e+17,2.0000111647755568e+17,2.0000213948788566e+17,2.0000375822103904e+17,2.0000614993510934e+17,2.0000949188765642e+17,2.0001395168732918e+17
