Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s
0.0,2e+17,2e+17,2e+17,2.000000000000034e+17,2.0000000000124195e+17,2.0000000006447178e+17,2.0000000108579565e+17,2.0000000902824896e+17,2.0000004685380352e+17,2.0000017474806045e+17,2.000005124318683e+17,2.0000125448507626e+17,2.000026727145894e+17,2.000051050966766e+17,2.0000893497037542e+17,2.000145656965462e+17,2.000223954994872e+17,2.0003279575345222e+17,2.0004609440245658e+17,2.0006256493927414e+17,2.0008242054025968e+17,2.0010581251266653e+17,2.0013283205681178e+17,2.001635143712229e+17,2.0019784425083405e+17,2.002357624885617e+17,2.002771725538178e+17,2.0032194716879414e+17,2.0036993452660902e+17,2.0042096399304992e+17,2.0047485120756374e+17,2.0053140255276285e+17,2.0059041899887814e+17,2.0065169935395075e+17,2.0071504296529296e+17,2.007802519254854e+17,2.0084713283899216e+17,2.009154982049561e+17,2.009851674690816e+17,2.0105596779358102e+17,2.011277345895786e+17,2.0120031185154954e+17,2.0127355232860915e+17,2.013473175629351e+17,2.0142147782140688e+17,2.014959119427386e+17,2.01570507118976e+17,2.016451586272237e+17,2.0171976952484496e+17,2.017942503191007e+17,2.018685186202417e+17,2.0194249878539645e+17,2.020161215591802e+17,2.0208932371575334e+17,2.0216204770605216e+17,2.022342413130741e+17,2.023058573174029e+17,2.0237685317458054e+17
0.0015115115115115114,2e+17,2e+17,2e+17,2.000000000000034e+17,2.0000000000124195e+17,2.0000000006447178e+17,2.0000000108579565e+17,2.0000000902824896e+17,2.0000004685380352e+17,2.0000017474806045e+17,2.000005124318683e+17,2.0000125448507626e+17,2.000026727145894e+17,2.000051050966766e+17,2.0000893497037542e+17,2.000145656965462e+17,2.000223954994872e+17,2.0003279575345222e+17,2.0004609440245658e+17,2.0006256493927414e+17,2.0008242054025968e+17,2.0010581251266653e+17,2.0013283205681178e+17,2.001635143712229e+17,2.0019784425083405e+17,2.002357624885617e+17,2.002771725538178e+17,2.0032194716879414e+17,2.0036993452660902e+17,2.0042096399304992e+17,2.0047485120756374e+17,2.0053140255276285e+17,2.0059041899887814e+17,2.0065169935395075e+17,2.0071504296529296e+17,2.007802519254854e+17,2.0084713283899216e+17,2.009154982049561e+17,2.009851674690816e+17,2.0105596779358102e+17,2.011277345895786e+17,2.0120031185154954e+17,2.0127355232860915e+17,2.013473175629351e+17,2.0142147782140688e+17,2.014959119427386e+17,2.01570507118976e+17,2.016451586272237e+17,2.0171976952484496e+17,2.017942503191007e+17,2.018685186202417e+17,2.0194249878539645e+17,2.020161215591802e+17,2.0208932371575334e+17,2.0216204770605216e+17,2.022342413130741e+17,2.023058573174029e+17,2.0237685317458054e+17
0.003023023023023023,2e+17,2e+17,2e+17,2.0000000000000342e+17,2.0000000000125386e+17,2.000000000649008e+17,2.0000000109110378e+17,2.0000000906202448e+17,2.0000004699218912e+17,2.0000017516567907e+17,2.000005134426276e+17,2.0000125656108528e+17,2.000026764766701e+17,2.000051112805463e+17,2.0000894437832378e+17,2.000145791451252e+17,2.0002241377141405e+17,2.0003281955865965e+17,2.0004612435028102e+17,2.0006260152165914e+17,2.0008246412460182e+17,2.001058633423701e+17,2.001328902575202e+17,2.0016357996086928e+17,2.0019791715195184e+17,2.0023584254163197e+17,2.002772595307469e+17,2.0032204078588992e+17,2.003700344566458e+17,2.0042106987618534e+17,2.0047496266099744e+17,2.0053151917911702e+17,2.0059054039334163e+17,2.0065182511026627e+17,2.0071517268068906e+17,2.0078038520466477e+17,2.0084726929728995e+17,2.0091563747077846e+17,2.0098530918572694e+17,2.0105611162053898e+17,2.0112788020339107e+17,2.0120045894630902e+17,2.0127370061615997e+17,2.0134746677283395e+17,2.014216277006919e+17,2.0149606225554797e+17,2.0157065764605094e+17,2.0164530916532563e+17,2.017199198861103e+17,2.0179440033035424e+17,2.018686681222844e+17,2.0194264763228128e+17,2.020162696174862e+17,2.0208947086386723e+17,2.021621938334631e+17,2.0223438631968765e+17,2.023060011128771e+17,2.0237699567768733e+17
0.0045345345345345345,2e+17,2e+17,2e+17,2.0000000000000352e+17,2.0000000000127773e+17,2.0000000006576138e+17,2.000000011017429e+17,2.0000000912968483e+17,2.0000004726930666e+17,2.000001760017447e+17,2.0000051546576595e+17,2.0000126071583344e+17,2.000026840049446e+17,2.000051236539677e+17,2.0000896320155267e+17,2.0001460605124323e+17,2.0002245032574458e+17,2.000328671808893e+17,2.0004618425885917e+17,2.0006267470022582e+17,2.0008255130769744e+17,2.0010596501655757e+17,2.00133006673858e+17,2.001637111550182e+17,2.001980629687996e+17,2.002360026619889e+17,2.0027743349830074e+17,2.0032222803315664e+17,2.0037023432909766e+17,2.004212816540821e+17,2.0047518557870086e+17,2.0053175244184976e+17,2.0059078319147286e+17,2.0065207663128387e+17,2.007154321190614e+17,2.0078065176981584e+17,2.0084754221991434e+17,2.009159160077168e+17,2.0098559262360758e+17,2.0105639927837482e+17,2.0112817143430102e+17,2.0120075313851382e+17,2.0127399719338406e+17,2.0134776519422637e+17,2.014219274603639e+17,2.0149636288180986e+17,2.0157095870041824e+17,2.0164561024135267e+17,2.0172022060810035e+17,2.0179470035198586e+17,2.0186896712518707e+17,2.0194294532458675e+17,2.0201656573237728e+17,2.020897651581403e+17,2.021624860861183e+17,2.0223467633055632e+17,2.023062887012943e+17,2.023772806812149e+17
0.006046046046046046,2e+17,2e+17,2e+17,2.0000000000000368e+17,2.0000000000131382e+17,2.0000000006705866e+17,2.0000000111775888e+17,2.0000000923144877e+17,2.0000004768584957e+17,2.0000017725791533e+17,2.0000051850452474e+17,2.0000126695478346e+17,2.0000269530764202e+17,2.0000514222830816e+17,2.0000899145472982e+17,2.0001464643282374e+17,2.000225051834353e+17,2.0003293864377322e+17,2.0004627415405162e+17,2.0006278450256928e+17,2.0008268211837002e+17,2.0010611756479014e+17,2.0013318133566714e+17,2.001639079833817e+17,2.0019828173060112e+17,2.002362428780643e+17,2.0027769448386925e+17,2.003225089367432e+17,2.0037053416871978e+17,2.004215993499904e+17,2.004755199823445e+17,2.005321023610083e+17,2.0059114741167875e+17,2.00652453933775e+17,2.0071582129556886e+17,2.007810516345219e+17,2.0084795161892134e+17,2.0091633382635674e+17,2.009860177919019e+17,2.0105683077492714e+17,2.0112860828887722e+17,2.012011944335344e+17,2.0127444206452528e+17,2.0134821283030077e+17,2.0142237710262566e+17,2.0149681382280963e+17,2.015714102825116e+17,2.0164606185495043e+17,2.0172067168973325e+17,2.0179515038224406e+17,2.0186941562658346e+17,2.01943391859384e+17,2.0201700990041088e+17,2.0209020659466262e+17,2.0216292445968384e+17,2.0223511134096294e+17,2.0230672007759213e+17,2.0237770817979104e+17
0.007557557557557557,2e+17,2e+17,2e+17,2.000000000000039e+17,2.0000000000136243e+17,2.0000000006880042e+17,2.000000011392207e+17,2.0000000936764522e+17,2.0000004824285962e+17,2.0000017893668112e+17,2.0000052256377085e+17,2.0000127528613587e+17,2.0000271039711354e+17,2.000051670206268e+17,2.0000902915986518e+17,2.000147003167598e+17,2.0002257837592832e+17,2.0003303398276563e+17,2.0004639407465414e+17,2.0006293097008573e+17,2.0008285659985734e+17,2.0010632103141085e+17,2.0013341428771082e+17,2.0016417049052698e+17,2.0019857348119037e+17,2.0023656323250358e+17,2.002780425285345e+17,2.0032288353586966e+17,2.0037093401264118e+17,2.004220229987816e+17,2.0047596590443e+17,2.005325689666594e+17,2.005916330815655e+17,2.006529570428927e+17,2.007163402329455e+17,2.0078158481915382e+17,2.0084849751239117e+17,2.009168909425732e+17,2.0098658470437408e+17,2.0105740612195046e+17,2.011291907769698e+17,2.0120178283942352e+17,2.0127503523594672e+17,2.0134880968583722e+17,2.0142297663077917e+17,2.0149741508047318e+17,2.0157201239297974e+17,2.0164666400558547e+17,2.0172127312938448e+17,2.017957504185e+17,2.0187001362292275e+17,2.019439872322783e+17,2.02017602116422e+17,2.0209079516756832e+17,2.0216350894765792e+17,2.022356913438308e+17,2.0230729523417603e+17,2.0237827816535667e+17
0.009069069069069069,2e+17,2e+17,2e+17,2.0000000000000416e+17,2.0000000000142397e+17,2.0000000007099702e+17,2.0000000116622074e+17,2.000000095387141e+17,2.0000004894172925e+17,2.0000018104136826e+17,2.0000052765000246e+17,2.0000128572083648e+17,2.0000272928984157e+17,2.000051980536846e+17,2.0000907634632093e+17,2.0001476773892384e+17,2.0002266994515987e+17,2.000331532451505e+17,2.0004654407240387e+17,2.0006311415797718e+17,2.000830748098144e+17,2.0010657547554614e+17,2.0013370558967357e+17,2.001644987358755e+17,2.0019893827900957e+17,2.002369637821629e+17,2.0027847768706714e+17,2.0032335188282314e+17,2.003714339103604e+17,2.0042255264694365e+17,2.0047652338828538e+17,2.005331522988843e+17,2.0059224023793373e+17,2.0065358599216675e+17,2.00716988961496e+17,2.007822513508656e+17,2.008491799244238e+17,2.009175873775259e+17,2.009872933793699e+17,2.0105812533511142e+17,2.0112991891170627e+17,2.0120251836691267e+17,2.0127577671612723e+17,2.013495557672043e+17,2.0142372604922237e+17,2.0149816665736413e+17,2.0157276503268365e+17,2.016474166925429e+17,2.0172202492488464e+17,2.017965004572454e+17,2.018707611094678e+17,2.0194473143740752e+17,2.0201834237352176e+17,2.0209153086903395e+17,2.0216423954136954e+17,2.0223641632972253e+17,2.0230801416091843e+17,2.0237899062716493e+17
0.01058058058058058,2e+17,2e+17,2e+17,2.0000000000000448e+17,2.00000000001499e+17,2.000000000736616e+17,2.0000000119887504e+17,2.0000000974520765e+17,2.0000004978420416e+17,2.00000183576144e+17,2.0000053377135683e+17,2.0000129827258666e+17,2.0000275200645162e+17,2.0000523535595725e+17,2.0000913305082483e+17,2.000148487441803e+17,2.00022779943572e+17,2.0003329649005136e+17,2.0004672421198723e+17,2.000633341352572e+17,2.000833368203173e+17,2.0010688097110784e+17,2.0013405531616147e+17,2.0016489279370163e+17,2.0019937619710666e+17,2.0023744459810554e+17,2.0027900002792182e+17,2.0032391404295254e+17,2.0037203392373955e+17,2.004231883525747e+17,2.0047719248805834e+17,2.0053385240777213e+17,2.0059296892677162e+17,2.0065434082349702e+17,2.007177675190891e+17,2.007830512635878e+17,2.008499988851328e+17,2.009184231576536e+17,2.009881438398111e+17,2.010589884339834e+17,2.011307927094869e+17,2.0120340102940752e+17,2.0127666651565725e+17,2.0135045108235504e+17,2.014246253634457e+17,2.0149906855668035e+17,2.015736682026934e+17,2.016483199149235e+17,2.017229270735167e+17,2.017974004940902e+17,2.0187165808029267e+17,2.019456244674399e+17,2.0201923066309523e+17,2.0209241368927702e+17,2.0216511622997686e+17,2.022372862868388e+17,2.0230887684515738e+17,2.023798455517801e+17
0.012092092092092091,2e+17,2e+17,2e+17,2.0000000000000486e+17,2.0000000000158816e+17,2.0000000007681002e+17,2.0000000123732394e+17,2.0000000998779155e+17,2.0000005077238685e+17,2.0000018654602314e+17,2.000005409376198e+17,2.0000131295785594e+17,2.0000277857172752e+17,2.0000527896165178e+17,2.0000919931748688e+17,2.0001494338640163e+17,2.0002290843412707e+17,2.0003346378844374e+17,2.000469345710499e+17,2.0006359098475866e+17,2.0008364271786816e+17,2.0010723760679562e+17,2.0013446355670266e+17,2.0016535275313114e+17,2.0019988732313178e+17,2.0023800576559693e+17,2.0027960963323123e+17,2.003245700946618e+17,2.003727341269971e+17,2.004239301853753e+17,2.004779732687085e+17,2.0053466935341178e+17,2.005938192032469e+17,2.0065522158714534e+17,2.0071867595114957e+17,2.0078398459802003e+17,2.0085095443063776e+17,2.0091939831466688e+17,2.009891361131887e+17,2.010599954420399e+17,2.0113181218997824e+17,2.012044308429819e+17,2.0127770464723315e+17,2.0135149564082176e+17,2.01425674580027e+17,2.0150012078224954e+17,2.01574721904284e+17,2.016493736716396e+17,2.017239795720126e+17,2.0179845052375917e+17,2.018727045282798e+17,2.019466663135715e+17,2.0202026697479914e+17,2.020934436165535e+17,2.021661390004653e+17,2.0223830120101626e+17,2.023098832716949e+17,2.0238084292307603e+17
0.013603603603603603,2e+17,2e+17,2e+17,2.0000000000000534e+17,2.0000000000169226e+17,2.00000000080461e+17,2.000000012817323e+17,2.0000001026724717e+17,2.000000519087409e+17,2.000001899568756e+17,2.0000054916023747e+17,2.0000132979589744e+17,2.000028090146294e+17,2.000053289107262e+17,2.0000927519781946e+17,2.0001505172848765e+17,2.00023055490325e+17,2.000336552231701e+17,2.0004717524020883e+17,2.0006388480314234e+17,2.000839926034011e+17,2.0010764548610013e+17,2.0013493041574746e+17,2.00165878718139e+17,2.002004717593336e+17,2.002386473840994e+17,2.0028030659879933e+17,2.0032532012940182e+17,2.0037353460669878e+17,2.0042477822663914e+17,2.004788658059973e+17,2.0053560320588186e+17,2.005947911316968e+17,2.006562283417255e+17,2.0071971431064858e+17,2.0078505140162125e+17,2.0085204660305533e+17,2.0092051288553933e+17,2.0099027023155434e+17,2.0106114638664682e+17,2.011329773761056e+17,2.0120560782637085e+17,2.0127889112565066e+17,2.0135268945370995e+17,2.0142687370662595e+17,2.0150132333852374e+17,2.0157592613893043e+17,2.016505779614109e+17,2.0172518241654883e+17,2.0179965054008806e+17,2.0187390044511635e+17,2.0194785696552262e+17,2.0202145129655885e+17,2.0209462063715523e+17,2.02167307837645e+17,2.022394610557255e+17,2.023110334227951e+17,2.0238198272223443e+17
