Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s
0.0,2e+17,2e+17,2e+17,2e+17,2.0000000000000438e+17,2.0000000000115533e+17,2.0000000005003216e+17,2.0000000075542614e+17,2.0000000585087168e+17,2.000000289090214e+17,2.0000010403097837e+17,2.0000029687898915e+17,2.0000071141702886e+17,2.0000148971612608e+17,2.000028050672617e+17,2.000048505959903e+17,2.0000782613214813e+17,2.000119256660122e+17,2.0001732689982397e+17,2.0002418358980365e+17,2.0003262075780726e+17,2.0004273247056483e+17,2.0005458170041286e+17,2.0006820173489133e+17,2.0008359863811472e+17,2.0010075434269286e+17,2.001196300397053e+17,2.0014016961985123e+17,2.001623029934895e+17,2.0018594917802182e+17,2.0021101908802896e+17,2.002374179982648e+17,2.002650476741192e+17,2.0029380818060224e+17,2.0032359939120694e+17,2.003543222237945e+17,2.003858796332244e+17,2.0041817739083267e+17,2.0045112467980618e+17,2.004846345335685e+17,2.0051862414188317e+17,2.0055301504676816e+17,2.0058773324768614e+17,2.0062270923294915e+17,2.0065787795192272e+17,2.0069317874047024e+17,2.007285552101613e+17,2.007639551100724e+17,2.0079933016853046e+17,2.0083463592086992e+17,2.0086983152817485e+17,2.009048795910432e+17,2.0093974596161674e+17,2.009743995564524e+17,2.0100881217225366e+17,2.0104295830601357e+17,2.010768149807375e+17,2.0111036157759638e+17,2.0114357967510093e+17,2.0117645289567875e+17,2.0120896675986512e+17,2.0124110854818298e+17
0.0033333333333333335,2e+17,2e+17,2e+17,2e+17,2.0000000000000438e+17,2.0000000000115533e+17,2.0000000005003216e+17,2.0000000075542614e+17,2.0000000585087168e+17,2.000000289090214e+17,2.0000010403097837e+17,2.0000029687898915e+17,2.0000071141702886e+17,2.0000148971612608e+17,2.000028050672617e+17,2.000048505959903e+17,2.0000782613214813e+17,2.000119256660122e+17,2.0001732689982397e+17,2.0002418358980365e+17,2.0003262075780726e+17,2.0004273247056483e+17,2.0005458170041286e+17,2.0006820173489133e+17,2.0008359863811472e+17,2.0010075434269286e+17,2.001196300397053e+17,2.0014016961985123e+17,2.001623029934895e+17,2.0018594917802182e+17,2.0021101908802896e+17,2.002374179982648e+17,2.002650476741192e+17,2.0029380818060224e+17,2.0032359939120694e+17,2.003543222237945e+17,2.003858796332244e+17,2.0041817739083267e+17,2.0045112467980618e+17,2.004846345335685e+17,2.0051862414188317e+17,2.0055301504676816e+17,2.0058773324768614e+17,2.0062270923294915e+17,2.0065787795192272e+17,2.0069317874047024e+17,2.007285552101613e+17,2.007639551100724e+17,2.0079933016853046e+17,2.0083463592086992e+17,2.0086983152817485e+17,2.009048795910432e+17,2.0093974596161674e+17,2.009743995564524e+17,2.0100881217225366e+17,2.0104295830601357e+17,2.010768149807375e+17,2.0111036157759638e+17,2.0114357967510093e+17,2.0117645289567875e+17,2.0120896675986512e+17,2.0124110854818298e+17
0.006666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000044e+17,2.0000000000116576e+17,2.0000000005034906e+17,2.0000000075896336e+17,2.0000000587193046e+17,2.0000002899143037e+17,2.000001042714795e+17,2.0000029744639955e+17,2.0000071255917162e+17,2.0000149175222512e+17,2.0000280836871808e+17,2.0000485556092422e+17,2.000078331590255e+17,2.0001193513025213e+17,2.00017339135547e+17,2.0002419887741664e+17,2.0003263931712595e+17,2.0004275445862867e+17,2.0005460721293494e+17,2.000682308102931e+17,2.000836312632168e+17,2.001007904593062e+17,2.001196695515451e+17,2.0014021239935792e+17,2.0016234888827728e+17,2.001859980167828e+17,2.0021107068580163e+17,2.0023747216103517e+17,2.0026510420276195e+17,2.0029386687419658e+17,2.00323660049777e+17,2.0035438465053168e+17,2.0038594363625296e+17,2.0041824278457757e+17,2.004511912860199e+17,2.0048470218206893e+17,2.0051869267104947e+17,2.00553084303836e+17,2.0058780308887914e+17,2.0062277952347776e+17,2.0065794856587754e+17,2.006932495606329e+17,2.00728626127752e+17,2.0076402602445056e+17,2.007994009868615e+17,2.0083470655776928e+17,2.008699019053385e+17,2.009049496368716e+17,2.0093981561083808e+17,2.0097446874974976e+17,2.010088808558996e+17,2.0104302643151485e+17,2.0107688250449206e+17,2.0111042846056368e+17,2.0114364588248694e+17,2.0117651839663613e+17,2.0120903152720854e+17,2.0124117255812016e+17
0.01,2e+17,2e+17,2e+17,2e+17,2.0000000000000454e+17,2.000000000011867e+17,2.000000000509846e+17,2.0000000076605235e+17,2.0000000591411338e+17,2.0000002915644675e+17,2.0000010475294163e+17,2.000002985820979e+17,2.0000071484490768e+17,2.0000149582657357e+17,2.0000281497456118e+17,2.0000486549452902e+17,2.0000784721729955e+17,2.0001195406396723e+17,2.0001736361284717e+17,2.000242294589992e+17,2.0003267644249747e+17,2.0004279844174253e+17,2.0005465824509792e+17,2.0006828896823856e+17,2.0008369652048896e+17,2.001008626994437e+17,2.0011974858190893e+17,2.001402979647729e+17,2.0016244068392826e+17,2.001860957000214e+17,2.002111738866825e+17,2.002375804915163e+17,2.0026521726458592e+17,2.0029398426552128e+17,2.0032378137065482e+17,2.0035450950735382e+17,2.0038607164527926e+17,2.0041837357467174e+17,2.0045132450070243e+17,2.0048483748099235e+17,2.005188297309895e+17,2.0055322281928202e+17,2.0058794277229645e+17,2.0062292010530515e+17,2.0065808979431386e+17,2.0069339120125856e+17,2.0072876796302416e+17,2.0076416785310397e+17,2.0079954262324218e+17,2.0083484783112275e+17,2.0087004265907053e+17,2.0090508972779622e+17,2.009399549084239e+17,2.0097460713537453e+17,2.0100901822211923e+17,2.010431626813531e+17,2.010770175507542e+17,2.0111056222517744e+17,2.0114377829587254e+17,2.0117664939710643e+17,2.0120916106040006e+17,2.0124130057645472e+17
0.013333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000474e+17,2.0000000000121837e+17,2.0000000005194243e+17,2.000000007767223e+17,2.0000000597755136e+17,2.0000002940446784e+17,2.0000010547628522e+17,2.000003002878403e+17,2.000007182771394e+17,2.0000150194347366e+17,2.000028248906533e+17,2.0000488040428016e+17,2.0000786831601037e+17,2.0001198247762934e+17,2.000174003434336e+17,2.0002427534726538e+17,2.000327321473906e+17,2.000428644338793e+17,2.0005473481113965e+17,2.0006837622301152e+17,2.0008379442406707e+17,2.0010097107692672e+17,2.0011986714416483e+17,2.001404263288988e+17,2.0016257839259242e+17,2.0018624223917037e+17,2.0021132870134182e+17,2.0023774299958803e+17,2.0026538686866736e+17,2.002941603628475e+17,2.003239633613151e+17,2.0035469680095568e+17,2.00386263666241e+17,2.0041856976632323e+17,2.004515243283632e+17,2.004850404341831e+17,2.0051903532491766e+17,2.005534305957264e+17,2.0058815230000016e+17,2.0062313097997123e+17,2.006583016382846e+17,2.0069360366294765e+17,2.007289807161588e+17,2.0076438059582624e+17,2.007997550771094e+17,2.008350597400396e+17,2.0087025378818026e+17,2.009052998623524e+17,2.009401638526603e+17,2.0097481471138656e+17,2.01009224268768e+17,2.010433670531995e+17,2.0107722011702982e+17,2.0111076286879597e+17,2.011439769124848e+17,2.0117684589420077e+17,2.0120935535644877e+17,2.01241492600107e+17
0.016666666666666666,2e+17,2e+17,2e+17,2e+17,2.00000000000005e+17,2.0000000000126096e+17,2.00000000053228e+17,2.0000000079101715e+17,2.000000060624411e+17,2.000000297360906e+17,2.0000010644289254e+17,2.0000030256626336e+17,2.0000072286022355e+17,2.000015101093825e+17,2.0000283812579187e+17,2.0000490030139485e+17,2.0000789646872192e+17,2.0001202038694963e+17,2.0001744934487302e+17,2.000243365612884e+17,2.0003280645201014e+17,2.000429524559992e+17,2.0005483693241728e+17,2.000684925960376e+17,2.0008392499515427e+17,2.0010111561248627e+17,2.0012002525836352e+17,2.0014059751093814e+17,2.0016276203249312e+17,2.0018643765137677e+17,2.0021153514578298e+17,2.0023795970006832e+17,2.0026561302861846e+17,2.0029439517857984e+17,2.0032420603296794e+17,2.0035494654137747e+17,2.003865197080427e+17,2.0041883136734227e+17,2.0045179077576474e+17,2.004853110474061e+17,2.0051930945765382e+17,2.0055370763709786e+17,2.00588431675082e+17,2.0062341214978448e+17,2.0065858409936803e+17,2.0069388694659952e+17,2.0072926438742637e+17,2.00764664252307e+17,2.0080003834761773e+17,2.00835342283183e+17,2.0087053529088083e+17,2.009055800383425e+17,2.0094044244097568e+17,2.009750914748752e+17,2.0100949899262848e+17,2.0104363954356042e+17,2.0107749019957744e+17,2.0111103038745632e+17,2.0114424172816394e+17,2.011771078835853e+17,2.0120961441086822e+17,2.0124174862445734e+17
0.02,2e+17,2e+17,2e+17,2e+17,2.000000000000053e+17,2.0000000000131488e+17,2.0000000005484858e+17,2.0000000080899568e+17,2.0000000616904573e+17,2.0000003015211267e+17,2.000001076546099e+17,2.0000030542088726e+17,2.000007285999752e+17,2.0000152033291654e+17,2.0000285469171437e+17,2.00004925200837e+17,2.000079316935265e+17,2.000120678128825e+17,2.0001751064059283e+17,2.0002441312650333e+17,2.0003289938329875e+17,2.0004306253605107e+17,2.0005496463740768e+17,2.000686381158839e+17,2.000840882620204e+17,2.0010129633376186e+17,2.001202229512369e+17,2.0014081153649117e+17,2.0016299162792496e+17,2.0018668195949994e+17,2.0021179324134026e+17,2.0023823061271056e+17,2.0026589576258518e+17,2.002946887292542e+17,2.0032450940055632e+17,2.003552587420026e+17,2.0038683978255366e+17,2.004191583881392e+17,2.0045212385192048e+17,2.00485649328345e+17,2.0051965213562182e+17,2.0055405394863213e+17,2.0058878090166176e+17,2.006237636178206e+17,2.0065893717966618e+17,2.0069424105341146e+17,2.007296189771858e+17,2.007650188221306e+17,2.0080039243363818e+17,2.0083569545876893e+17,2.008708871647884e+17,2.0090593025283514e+17,2.0094079066994035e+17,2.0097543742195846e+17,2.0100984238941e+17,2.0104398014777683e+17,2.0107782779340758e+17,2.0111136477587392e+17,2.01144572737363e+17,2.0117743535948134e+17,2.012099382176759e+17,2.012420686433458e+17
0.023333333333333334,2e+17,2e+17,2e+17,2e+17,2.000000000000057e+17,2.0000000000138054e+17,2.0000000005681334e+17,2.000000008307317e+17,2.0000000629769542e+17,2.0000003065353405e+17,2.0000010911375014e+17,2.0000030885611974e+17,2.000007355036728e+17,2.0000153262485763e+17,2.000028746031046e+17,2.000049551213234e+17,2.0000797401305085e+17,2.000121247816311e+17,2.000175842598858e+17,2.0002450507471072e+17,2.000330109749395e+17,2.000431947089737e+17,2.000551179617081e+17,2.0006881281825904e+17,2.0008428426000086e+17,2.0010151327529997e+17,2.00120460256196e+17,2.001410684375538e+17,2.0016326720925098e+17,2.0018697519210848e+17,2.0021210301467555e+17,2.002385557622005e+17,2.002662350932438e+17,2.0029504103553443e+17,2.0032487348275312e+17,2.0035563341955446e+17,2.0038722390460493e+17,2.0041955084172157e+17,2.0045252356809216e+17,2.0048605528659933e+17,2.005200633668467e+17,2.0055446953686944e+17,2.0058919998488515e+17,2.0062418538792042e+17,2.0065936088180314e+17,2.0069466598487664e+17,2.0073004448588253e+17,2.0076544430477472e+17,2.008008173337571e+17,2.008361192645651e+17,2.0087130940692118e+17,2.0090635050216413e+17,2.0094120853526525e+17,2.0097585254778237e+17,2.0101025445374755e+17,2.0104438886002368e+17,2.0107823289228237e+17,2.0111176602744202e+17,2.011449699331475e+17,2.0117782831466448e+17,2.0121032676939306e+17,2.0124245264907174e+17
0.02666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000618e+17,2.0000000000145846e+17,2.000000000591334e+17,2.0000000085631453e+17,2.0000000644878826e+17,2.0000003124155888e+17,2.0000011082309622e+17,2.0000031287726106e+17,2.0000074358006474e+17,2.0000154699816054e+17,2.000028978776009e+17,2.0000499008533194e+17,2.000080234544637e+17,2.0001219132465405e+17,2.0001767023791562e+17,2.0002461244408086e+17,2.000331412673589e+17,2.000433490166979e+17,2.0005529694803686e+17,2.0006901674601258e+17,2.0008451303149565e+17,2.0010176647855213e+17,2.0012073721332832e+17,2.0014136825251424e+17,2.0016358881289917e+17,2.0018731738347658e+17,2.0021246449777466e+17,2.0023893517815235e+17,2.0026663104779706e+17,2.0029545212220813e+17,2.0032529830195712e+17,2.003560705940927e+17,2.0038767209198554e+17,2.0042000874369053e+17,2.0045298993778627e+17,2.0048652893368147e+17,2.0052054316095184e+17,2.0055495440965178e+17,2.0058968893092112e+17,2.0062467746468736e+17,2.0065985520892262e+17,2.0069516174278218e+17,2.0073054091404672e+17,2.0076594069960845e+17,2.0080131304627418e+17,2.0083661369788925e+17,2.0087180201369766e+17,2.0090684078192717e+17,2.0094169603180096e+17,2.0097633684651965e+17,2.010107351792012e+17,2.0104486567330893e+17,2.0107870548871446e+17,2.0111223413423094e+17,2.0114543330719453e+17,2.011782867404644e+17,2.012107800570441e+17,2.0124290063239363e+17
0.030000000000000002,2e+17,2e+17,2e+17,2e+17,2.0000000000000672e+17,2.0000000000154934e+17,2.0000000006182186e+17,2.0000000088584896e+17,2.000000066227912e+17,2.000000319175979e+17,2.000001127859052e+17,2.0000031749050998e+17,2.00000752839377e+17,2.0000156346796186e+17,2.0000292453580566e+17,2.000050301191112e+17,2.0000808004948486e+17,2.000122674786733e+17,2.000177686157237e+17,2.0002473527915914e+17,2.0003329030773085e+17,2.0004352550814867e+17,2.0005550164623434e+17,2.000692499491349e+17,2.0008477462596768e+17,2.0010205599187248e+17,2.0012105386939488e+17,2.0014171102614947e+17,2.0016395648135846e+17,2.0018770857357936e+17,2.0021287772794243e+17,2.0023936889510368e+17,2.0026708365796915e+17,2.0029592201818208e+17,2.0032578388428816e+17,2.0035657028900858e+17,2.0038818436543805e+17,2.0042053211223664e+17,2.0045352297675005e+17,2.0048707028301267e+17,2.0052109152915517e+17,2.0055550857611936e+17,2.0059024774695843e+17,2.0062523985348438e+17,2.0066042016468515e+17,2.006957283292064e+17,2.0073110826229078e+17,2.0076650800589014e+17,2.008018795692007e+17,2.0083717875560733e+17,2.0087236498093523e+17,2.0090740108698422e+17,2.009422531535362e+17,2.009768903113686e+17,2.0101128455825466e+17,2.010454105794726e+17,2.010792455739664e+17,2.0111276908698736e+17,2.0114596284979222e+17,2.011788106267639e+17,2.0121129807015606e+17,2.0124341258252832e+17
