Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s
0.0,2e+17,2e+17,2e+17,2e+17,2.0000000000000304e+17,2.00000000000863e+17,2.0000000003912896e+17,2.0000000061099107e+17,2.00000004855241e+17,2.0000002448037766e+17,2.000000895496331e+17,2.0000025903468656e+17
0.0033333333333333335,2e+17,2e+17,2e+17,2e+17,2.0000000000000304e+17,2.00000000000863e+17,2.0000000003912896e+17,2.0000000061099107e+17,2.00000004855241e+17,2.0000002448037766e+17,2.000000895496331e+17,2.0000025903468656e+17
0.006666666666666667,2e+17,2e+17,2e+17,2e+17,2.000000000000031e+17,2.0000000000087098e+17,2.0000000003938307e+17,2.0000000061392538e+17,2.0000000487316704e+17,2.0000002455197114e+17,2.0000008976204595e+17,2.0000025954270835e+17
0.01,2e+17,2e+17,2e+17,2e+17,2.000000000000032e+17,2.0000000000088704e+17,2.0000000003989283e+17,2.0000000061980637e+17,2.000000049090763e+17,2.0000002469533542e+17,2.000000901872895e+17,2.0000026055956074e+17
0.013333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000333e+17,2.000000000009113e+17,2.000000000406612e+17,2.0000000062865898e+17,2.0000000496308333e+17,2.000000249108255e+17,2.0000009082620022e+17,2.0000026208686214e+17
0.016666666666666666,2e+17,2e+17,2e+17,2e+17,2.000000000000035e+17,2.0000000000094394e+17,2.000000000416926e+17,2.0000000064052058e+17,2.000000050353603e+17,2.000000251989747e+17,2.000000916800343e+17,2.0000026412704275e+17
0.02,2e+17,2e+17,2e+17,2e+17,2.000000000000037e+17,2.0000000000098525e+17,2.000000000429931e+17,2.0000000065544134e+17,2.0000000512613747e+17,2.0000002556049578e+17,2.0000009275046966e+17,2.0000026668334714e+17
0.023333333333333334,2e+17,2e+17,2e+17,2e+17,2.00000000000004e+17,2.0000000000103562e+17,2.0000000004457024e+17,2.0000000067348422e+17,2.0000000523570384e+17,2.0000002599628237e+17,2.0000009403960845e+17,2.000002697598382e+17
0.02666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000435e+17,2.000000000010954e+17,2.0000000004643315e+17,2.0000000069472534e+17,2.0000000536440787e+17,2.0000002650741072e+17,2.000000955499803e+17,2.00000273361402e+17
0.030000000000000002,2e+17,2e+17,2e+17,2e+17,2.0000000000000474e+17,2.0000000000116515e+17,2.0000000004859267e+17,2.000000007192541e+17,2.0000000551265843e+17,2.000000270951418e+17,2.0000009728454605e+17,2.000002774937533e+17
0.03333333333333333,2e+17,2e+17,2e+17,2e+17,2.0000000000000522e+17,2.0000000000124544e+17,2.0000000005106134e+17,2.000000007471737e+17,2.0000000568092586e+17,2.000000277609238e+17,2.0000009924670234e+17,2.000002821634425e+17
0.03666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000576e+17,2.0000000000133693e+17,2.0000000005385334e+17,2.000000007786013e+17,2.0000000586974314e+17,2.0000002850639507e+17,2.0000010144028672e+17,2.0000028737786314e+17
0.04,2e+17,2e+17,2e+17,2e+17,2.0000000000000637e+17,2.0000000000144042e+17,2.0000000005698486e+17,2.0000000081366867e+17,2.0000000607970742e+17,2.0000002933338726e+17,2.0000010386958333e+17,2.000002931452607e+17
0.043333333333333335,2e+17,2e+17,2e+17,2e+17,2.0000000000000707e+17,2.0000000000155674e+17,2.0000000006047386e+17,2.0000000085252243e+17,2.0000000631148157e+17,2.0000003024392896e+17,2.0000010653932954e+17,2.0000029947474214e+17
0.04666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000787e+17,2.0000000000168685e+17,2.0000000006434038e+17,2.0000000089532467e+17,2.0000000656579574e+17,2.0000003124024973e+17,2.0000010945472288e+17,2.0000030637628646e+17
0.05,2e+17,2e+17,2e+17,2e+17,2.0000000000000877e+17,2.0000000000183187e+17,2.0000000006860662e+17,2.0000000094225366e+17,2.0000000684344957e+17,2.0000003232478435e+17,2.0000011262142902e+17,2.0000031386075654e+17
0.05333333333333334,2e+17,2e+17,2e+17,2e+17,2.000000000000098e+17,2.0000000000199296e+17,2.0000000007329686e+17,2.0000000099350426e+17,2.000000071453139e+17,2.0000003350017773e+17,2.0000011604559014e+17,2.0000032193991158e+17
0.05666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000001094e+17,2.000000000021715e+17,2.0000000007843782e+17,2.0000000104928874e+17,2.000000074723334e+17,2.0000003476929e+17,2.0000011973383414e+17,2.000003306264207e+17
0.060000000000000005,2e+17,2e+17,2e+17,2e+17,2.0000000000001226e+17,2.0000000000236886e+17,2.0000000008405872e+17,2.000000011098375e+17,2.0000000782552874e+17,2.0000003613520202e+17,2.0000012369328454e+17,2.0000033993387782e+17
