Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s,Density_t=0.00000005s
0.0,2e+17,2e+17,2e+17,2e+17,2.0000000000000243e+17,2.000000000007153e+17,2.0000000003340323e+17,2.0000000053298086e+17,2.0000000430587485e+17,2.000000219953707e+17,2.0000008131320195e+17,2.000002372698333e+17,2.0000057930279107e+17,2.000012325395738e+17,2.0000235289900842e+17,2.0000411764652192e+17,2.000067137660771e+17,2.0001032632266368e+17,2.0001512834372128e+17,2.0002127303044483e+17,2.0002888852481613e+17,2.000380750677337e+17,2.0004890417184528e+17,2.000614193540591e+17,2.0007563797930253e+17,2.0009155382011344e+17,2.0010914000899702e+17
0.0033333333333333335,2e+17,2e+17,2e+17,2e+17,2.0000000000000243e+17,2.000000000007153e+17,2.0000000003340323e+17,2.0000000053298086e+17,2.0000000430587485e+17,2.000000219953707e+17,2.0000008131320195e+17,2.000002372698333e+17,2.0000057930279107e+17,2.000012325395738e+17,2.0000235289900842e+17,2.0000411764652192e+17,2.000067137660771e+17,2.0001032632266368e+17,2.0001512834372128e+17,2.0002127303044483e+17,2.0002888852481613e+17,2.000380750677337e+17,2.0004890417184528e+17,2.000614193540591e+17,2.0007563797930253e+17,2.0009155382011344e+17,2.0010914000899702e+17
0.006666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000246e+17,2.0000000000072202e+17,2.000000000336237e+17,2.0000000053558214e+17,2.000000043220326e+17,2.0000002206075418e+17,2.0000008150926298e+17,2.000002377428857e+17,2.000005802731193e+17,2.0000123429740554e+17,2.0000235578907414e+17,2.000041220456672e+17,2.000067200588074e+17,2.000103348784879e+17,2.0001513949866496e+17,2.0002128707372995e+17,2.0002890569070326e+17,2.000380955319184e+17,2.0004892805152118e+17,2.0006144671070144e+17,2.0007566882329846e+17,2.0009158811650048e+17,2.0010917768372653e+17
0.01,2e+17,2e+17,2e+17,2e+17,2.0000000000000253e+17,2.0000000000073555e+17,2.0000000003406592e+17,2.000000005407959e+17,2.0000000435440054e+17,2.00000022191686e+17,2.000000819017778e+17,2.0000023868975757e+17,2.0000058221506896e+17,2.0000123781501878e+17,2.0000236157190214e+17,2.000041308474416e+17,2.000067326485305e+17,2.0001035199512627e+17,2.0001516181418563e+17,2.000213151664711e+17,2.0002894002906838e+17,2.0003813646717773e+17,2.0004897581794426e+17,2.0006150143112906e+17,2.0007573051840592e+17,2.0009165671627638e+17,2.0010925304000003e+17
0.013333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000262e+17,2.0000000000075597e+17,2.000000000347325e+17,2.0000000054864454e+17,2.000000044030838e+17,2.0000002238849622e+17,2.0000008249153254e+17,2.00000240111984e+17,2.0000058513122752e+17,2.0000124309631453e+17,2.0000237025288694e+17,2.0000414405881443e+17,2.0000675154377306e+17,2.0001037768256006e+17,2.0001519530155114e+17,2.0002135732101094e+17,2.000289915530939e+17,2.0003819788729194e+17,2.000490474852574e+17,2.000615835296278e+17,2.0007582307885597e+17,2.0009175963344435e+17,2.0010936609144605e+17
0.016666666666666666,2e+17,2e+17,2e+17,2e+17,2.0000000000000278e+17,2.0000000000078346e+17,2.0000000003562742e+17,2.000000005591619e+17,2.0000000446824026e+17,2.0000002265168067e+17,2.0000008327970797e+17,2.0000024201187005e+17,2.0000058902547933e+17,2.000012501471479e+17,2.0000238184012438e+17,2.0000416169024365e+17,2.0000677675732886e+17,2.0001041195576467e+17,2.000152399776663e+17,2.0002141355586608e+17,2.000290602825552e+17,2.000382798129327e+17,2.0004914307467562e+17,2.0006169302762672e+17,2.000759465259948e+17,2.0009189688900842e+17,2.001095168585062e+17
0.02,2e+17,2e+17,2e+17,2e+17,2.0000000000000298e+17,2.0000000000081827e+17,2.00000000036756e+17,2.0000000057239312e+17,2.000000045500812e+17,2.0000002298190205e+17,2.000000842678813e+17,2.0000024439249334e+17,2.0000059390300925e+17,2.000012589753324e+17,2.000023963444163e+17,2.0000418375568083e+17,2.000068083062636e+17,2.0001045483471392e+17,2.0001529586507645e+17,2.0002148389572973e+17,2.0002914624382298e+17,2.0003838227166454e+17,2.0004926261448662e+17,2.0006182995369792e+17,2.0007610088828333e+17,2.0009206851097258e+17,2.0010970536843395e+17
0.023333333333333334,2e+17,2e+17,2e+17,2e+17,2.000000000000032e+17,2.000000000008607e+17,2.0000000003812486e+17,2.0000000058839504e+17,2.0000000464887178e+17,2.0000002337999133e+17,2.000000854580286e+17,2.0000024725770784e+17,2.0000059977030742e+17,2.0000126959064598e+17,2.0000241377927683e+17,2.0000421027257757e+17,2.0000684621192106e+17,2.0001050634438557e+17,2.0001536299197248e+17,2.0002156837147594e+17,2.0002924946986608e+17,2.0003850529794672e+17,2.0004940614005216e+17,2.0006199434355686e+17,2.000762862012966e+17,2.000922745343394e+17,2.0010993165529264e+17
0.02666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000346e+17,2.0000000000091114e+17,2.0000000003974214e+17,2.0000000060723635e+17,2.000000047649317e+17,2.0000002384694922e+17,2.0000008685252784e+17,2.0000025061214854e+17,2.000006066351756e+17,2.00001282004838e+17,2.0000243416094058e+17,2.000042412618935e+17,2.0000689049993075e+17,2.000105665147686e+17,2.0001544139219674e+17,2.0002166702016426e+17,2.000293700002552e+17,2.000386489331357e+17,2.0004957369380896e+17,2.000621862400626e+17,2.000765025077229e+17,2.000925150011085e+17,2.0011019575995344e+17
0.030000000000000002,2e+17,2e+17,2e+17,2e+17,2.0000000000000378e+17,2.0000000000096995e+17,2.0000000004161734e+17,2.0000000062899773e+17,2.0000000489863622e+17,2.0000002438394848e+17,2.0000008845416272e+17,2.0000025446123702e+17,2.000006145067343e+17,2.0000129623163827e+17,2.000024575083718e+17,2.0000427674810614e+17,2.000069412002175e+17,2.0001063538087146e+17,2.000155311052503e+17,2.0002177988504566e+17,2.000295078811673e+17,2.0003881322548816e+17,2.0004976532527046e+17,2.0006240569321786e+17,2.0007674985736314e+17,2.000927899602748e+17,2.0011049773009245e+17
