Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s
0.0,2e+17,2e+17,2e+17,2e+17,2.0000000000000272e+17,2.0000000000078154e+17,2.0000000003599222e+17,2.0000000056846563e+17,2.0000000455691747e+17,2.0000002313510998e+17,2.000000851022022e+17,2.0000024730767427e+17,2.0000060172984144e+17,2.0000127649661664e+17,2.0000243064193398e+17,2.000042443150343e+17,2.0000690687721155e+17,2.0001060509149325e+17,2.0001551293331728e+17,2.0002178381463062e+17,2.000295454221609e+17,2.0003889698098474e+17,2.0004990854720067e+17,2.0006262186037078e+17,2.0007705229808502e+17,2.000931915321324e+17,2.0011101056111462e+17,2.001304628712187e+17,2.001514875463159e+17,2.001740122067268e+17,2.0019795570210627e+17,2.0022323051882838e+17,2.0024974488758675e+17,2.002774045944915e+17,2.0030611451044826e+17,2.0033577986056134e+17,2.0036630725894125e+17
0.0033333333333333335,2e+17,2e+17,2e+17,2e+17,2.0000000000000272e+17,2.0000000000078154e+17,2.0000000003599222e+17,2.0000000056846563e+17,2.0000000455691747e+17,2.0000002313510998e+17,2.000000851022022e+17,2.0000024730767427e+17,2.0000060172984144e+17,2.0000127649661664e+17,2.0000243064193398e+17,2.000042443150343e+17,2.0000690687721155e+17,2.0001060509149325e+17,2.0001551293331728e+17,2.0002178381463062e+17,2.000295454221609e+17,2.0003889698098474e+17,2.0004990854720067e+17,2.0006262186037078e+17,2.0007705229808502e+17,2.000931915321324e+17,2.0011101056111462e+17,2.001304628712187e+17,2.001514875463159e+17,2.001740122067268e+17,2.0019795570210627e+17,2.0022323051882838e+17,2.0024974488758675e+17,2.002774045944915e+17,2.0030611451044826e+17,2.0033577986056134e+17,2.0036630725894125e+17
0.006666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000275e+17,2.0000000000078883e+17,2.0000000003622797e+17,2.000000005712191e+17,2.0000000457388714e+17,2.0000002320335562e+17,2.0000008530582342e+17,2.0000024779693802e+17,2.0000060272993574e+17,2.0000127830300365e+17,2.0000243360423395e+17,2.0000424881407376e+17,2.0000691330020202e+17,2.0001061380921837e+17,2.0001552428166643e+17,2.00021798081425e+17,2.0002956283921475e+17,2.000389177207513e+17,2.000499327230834e+17,2.000626495297336e+17,2.0007708346707734e+17,2.000932261615859e+17,2.0011104857292902e+17,2.0013050415480474e+17,2.0015153196479414e+17,2.001740596026872e+17,2.001980059028163e+17,2.0022328334083677e+17,2.0024980014071494e+17,2.0027746208523235e+17,2.003061740448109e+17,2.003358412464109e+17,2.003663703078875e+17
0.01,2e+17,2e+17,2e+17,2e+17,2.000000000000028e+17,2.000000000008035e+17,2.0000000003670086e+17,2.000000005767378e+17,2.0000000460788112e+17,2.0000002334001757e+17,2.000000857134703e+17,2.0000024877625203e+17,2.000006047314455e+17,2.0000128191776346e+17,2.000024395315726e+17,2.0000425781568262e+17,2.000069261504927e+17,2.0001063124970403e+17,2.0001554698403946e+17,2.0002182662121987e+17,2.0002959767994102e+17,2.0003895920719366e+17,2.0004998108193066e+17,2.000627048756039e+17,2.0007714581217075e+17,2.0009329542747978e+17,2.001111246033501e+17,2.0013058672851478e+17,2.001516208079866e+17,2.001741544005058e+17,2.0019810630976944e+17,2.0022338899000445e+17,2.0024991065173002e+17,2.0027757707107683e+17,2.003062931175046e+17,2.0033596402169e+17,2.003664964089807e+17
0.013333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000294e+17,2.0000000000082563e+17,2.000000000374137e+17,2.0000000058504528e+17,2.0000000465900886e+17,2.0000002354543738e+17,2.000000863259524e+17,2.0000025024719034e+17,2.000006077370142e+17,2.0000128734486893e+17,2.0000244842942912e+17,2.000042713269225e+17,2.0000694543670464e+17,2.0001065742302253e+17,2.0001558105178698e+17,2.000218694464286e+17,2.0002964995757776e+17,2.0003902145413098e+17,2.0005005363790646e+17,2.0006278791227094e+17,2.0007723934758262e+17,2.0009339934378755e+17,2.001112386659621e+17,2.001307106054241e+17,2.001517540883646e+17,2.001742966119772e+17,2.0019825693403114e+17,2.0022354747663248e+17,2.0025007643014854e+17,2.0027774956074973e+17,2.003064717364654e+17,2.003361481935576e+17,2.003666855686216e+17
0.016666666666666666,2e+17,2e+17,2e+17,2e+17,2.000000000000031e+17,2.0000000000085546e+17,2.0000000003837062e+17,2.00000000596177e+17,2.0000000472743488e+17,2.000000238201283e+17,2.000000871444855e+17,2.0000025221211632e+17,2.0000061175061018e+17,2.0000129459028317e+17,2.000024603060262e+17,2.000042893583898e+17,2.0000697117177322e+17,2.0001069234428576e+17,2.000156265019379e+17,2.000219265756736e+17,2.0002971969198365e+17,2.000391044822929e+17,2.0005015041225738e+17,2.000628986611688e+17,2.0007736409463853e+17,2.0009353793146874e+17,2.0011139078114013e+17,2.0013087580514416e+17,2.0015193182463354e+17,2.001744862547917e+17,2.0019845779219766e+17,2.0022375881617046e+17,2.0025029749024342e+17,2.0027797956733606e+17,2.003067099135954e+17,2.0033639377275046e+17,2.0036693779640925e+17
0.02,2e+17,2e+17,2e+17,2e+17,2.000000000000033e+17,2.0000000000089322e+17,2.000000000395773e+17,2.000000006101804e+17,2.000000048133792e+17,2.0000002416477622e+17,2.0000008817069376e+17,2.0000025467418554e+17,2.0000061677753027e+17,2.0000130366196374e+17,2.000024751723349e+17,2.0000431192422064e+17,2.0000700337295286e+17,2.0001073603364947e+17,2.0001568335720304e+17,2.0002199803378922e+17,2.0002980690964042e+17,2.000392083193213e+17,2.0005027143331328e+17,2.000630371508763e+17,2.0007752008177194e+17,2.0009371121846768e+17,2.0011158097604877e+17,2.0013108235382102e+17,2.0015215404173072e+17,2.00174723352533e+17,2.0019870890639373e+17,2.002240230292142e+17,2.0025057385104134e+17,2.0027826710827888e+17,2.0030700766476022e+17,2.0033670077358038e+17,2.0036725310513894e+17
0.023333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000355e+17,2.000000000009392e+17,2.000000000410408e+17,2.0000000062711517e+17,2.0000000491711798e+17,2.0000002458024118e+17,2.000000894066118e+17,2.0000025763734947e+17,2.0000062282440477e+17,2.0000131456986858e+17,2.000024930420809e+17,2.0000433904209728e+17,2.0000704206182323e+17,2.000107885163189e+17,2.0001575164597987e+17,2.0002208385182557e+17,2.0002991164365546e+17,2.000393329997721e+17,2.000504167364882e+17,2.0006320341711706e+17,2.0007770734452333e+17,2.0009391923971248e+17,2.0011180928464045e+17,2.0013133028413286e+17,2.00152420770823e+17,2.001750079346751e+17,2.001990103042696e+17,2.002243401415024e+17,2.002509055363197e+17,2.002786122053759e+17,2.00307365009786e+17,2.0033706921393136e+17,2.0036763151079904e+17
0.02666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000387e+17,2.0000000000099386e+17,2.0000000004276966e+17,2.0000000064705338e+17,2.0000000503898422e+17,2.000000250675589e+17,2.000000908546882e+17,2.0000026110636022e+17,2.0000062989920374e+17,2.0000132732596326e+17,2.000025139317526e+17,2.0000437073325622e+17,2.0000708726429693e+17,2.0001084982255565e+17,2.0001583140235862e+17,2.0002218406705347e+17,2.0003003393376563e+17,2.000394785651173e+17,2.0005058636428166e+17,2.0006339750275974e+17,2.0007792592553946e+17,2.0009416203711315e+17,2.0011207574765286e+17,2.0013161963528726e+17,2.0015273204930333e+17,2.0017534003657917e+17,2.001993620189971e+17,2.0022471018391293e+17,2.0025129257460253e+17,2.0027901488477552e+17,2.0030778197245526e+17,2.003374991152555e+17,2.0036807303256723e+17
0.030000000000000002,2e+17,2e+17,2e+17,2e+17,2.0000000000000422e+17,2.000000000010576e+17,2.0000000004477408e+17,2.0000000067007974e+17,2.0000000517936864e+17,2.00000025627943e+17,2.0000009251778902e+17,2.000002650867762e+17,2.000006380112442e+17,2.000013419442299e+17,2.000025378606106e+17,2.000044070224979e+17,2.0000713901062874e+17,2.000109199876861e+17,2.000159226661293e+17,2.0002229872297014e+17,2.0003017382634134e+17,2.0003964506374832e+17,2.000507803662799e+17,2.0006361945781818e+17,2.0007817587457235e+17,2.000944396595598e+17,2.001123804126063e+17,2.001319504530177e+17,2.0015308792078688e+17,2.001757196994888e+17,2.0019976408926512e+17,2.0022513319245786e+17,2.002517349991555e+17,2.002794751769719e+17,2.0030825858050218e+17,2.003379905025684e+17,2.0036857769280592e+17
