Position_m,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000000s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000001s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000002s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000003s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000004s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s,Density_t=0.00000005s
0.0,2e+17,2e+17,2e+17,2e+17,2.0000000000000275e+17,2.0000000000079264e+17,2.00000000036423e+17,2.0000000057433584e+17,2.000000045982658e+17,2.0000002332220278e+17,2.0000008572254896e+17,2.0000024894767782e+17,2.0000060538791168e+17,2.0000128365681926e+17,2.0000244329185187e+17,2.0000426490792173e+17,2.0000693825000992e+17,2.0001065035525574e+17,2.00015575352458e+17,2.0002186668838563e+17,2.0002965197759645e+17,2.000390302829915e+17,2.0005007142774323e+17,2.0006281686697632e+17,2.0007728166008883e+17,2.0009345714238928e+17,2.0011131397055622e+17,2.0013080529362848e+17,2.0015186987087984e+17,2.001744350162061e+17,2.001984192948091e+17,2.0022373493288413e+17,2.0025028992633485e+17,2.0027798985206506e+17,2.0030673939686605e+17,2.0033644362583222e+17,2.003670090158422e+17,2.0039834428091978e+17,2.0043036101599402e+17,2.0046297418427498e+17,2.0049610247156253e+17,2.0052966852860144e+17,2.0056359912028698e+17,2.0059782519824704e+17,2.006322819111598e+17,2.0066690856516368e+17,2.0070164854489923e+17,2.0073644920410163e+17,2.0077126173323206e+17
0.0033333333333333335,2e+17,2e+17,2e+17,2e+17,2.0000000000000275e+17,2.0000000000079264e+17,2.00000000036423e+17,2.0000000057433584e+17,2.000000045982658e+17,2.0000002332220278e+17,2.0000008572254896e+17,2.0000024894767782e+17,2.0000060538791168e+17,2.0000128365681926e+17,2.0000244329185187e+17,2.0000426490792173e+17,2.0000693825000992e+17,2.0001065035525574e+17,2.00015575352458e+17,2.0002186668838563e+17,2.0002965197759645e+17,2.000390302829915e+17,2.0005007142774323e+17,2.0006281686697632e+17,2.0007728166008883e+17,2.0009345714238928e+17,2.0011131397055622e+17,2.0013080529362848e+17,2.0015186987087984e+17,2.001744350162061e+17,2.001984192948091e+17,2.0022373493288413e+17,2.0025028992633485e+17,2.0027798985206506e+17,2.0030673939686605e+17,2.0033644362583222e+17,2.003670090158422e+17,2.0039834428091978e+17,2.0043036101599402e+17,2.0046297418427498e+17,2.0049610247156253e+17,2.0052966852860144e+17,2.0056359912028698e+17,2.0059782519824704e+17,2.006322819111598e+17,2.0066690856516368e+17,2.0070164854489923e+17,2.0073644920410163e+17,2.0077126173323206e+17
0.006666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000278e+17,2.0000000000080003e+17,2.000000000366613e+17,2.0000000057711437e+17,2.0000000461536858e+17,2.0000002339091606e+17,2.000000859274022e+17,2.000002494395781e+17,2.000006063928394e+17,2.0000128547108112e+17,2.0000244626585622e+17,2.0000426942313667e+17,2.0000694469408352e+17,2.000106590991785e+17,2.000155867321002e+17,2.000218809913469e+17,2.0002966943530237e+17,2.0003905106737933e+17,2.000500956516129e+17,2.0006284458703683e+17,2.0007731288181424e+17,2.0009349182594077e+17,2.0011135203718742e+17,2.001308466321427e+17,2.001519143438383e+17,2.0017448246569382e+17,2.0019846954764547e+17,2.002237878052276e+17,2.002503452276728e+17,2.002780473886102e+17,2.003067989743979e+17,2.0033650505203296e+17,2.0036707210218112e+17,2.003984088441411e+17,2.004304268792606e+17,2.0046304117801814e+17,2.0049617043408288e+17,2.0052973730646144e+17,2.0056366856853162e+17,2.005978951804834e+17,2.0063235229952314e+17,2.0066697924019312e+17,2.0070171939534288e+17,2.007365201266678e+17,2.0077133263230035e+17
0.01,2e+17,2e+17,2e+17,2e+17,2.0000000000000288e+17,2.0000000000081488e+17,2.000000000371393e+17,2.0000000058268326e+17,2.0000000464962912e+17,2.000000235285142e+17,2.0000008633751504e+17,2.0000025042416832e+17,2.0000060840402045e+17,2.0000128910159632e+17,2.000024522166105e+17,2.00004278457104e+17,2.0000695758654806e+17,2.0001067659206678e+17,2.00015609497066e+17,2.0002190960348134e+17,2.0002970435733734e+17,2.0003909264306755e+17,2.000501441064359e+17,2.0006290003430288e+17,2.0007737533237283e+17,2.0009356120002845e+17,2.0011142817723882e+17,2.0013092931570458e+17,2.001520032959859e+17,2.001745773705609e+17,2.0019857005884467e+17,2.0022389355505824e+17,2.002504558350998e+17,2.0027816246605542e+17,2.0030691813342195e+17,2.003366279080062e+17,2.0036719827805162e+17,2.0039853797340918e+17,2.0043055860826608e+17,2.0046317516763914e+17,2.0049630636093706e+17,2.0052987486369098e+17,2.005638074662438e+17,2.0059803514590986e+17,2.0063249307695165e+17,2.006671205907189e+17,2.0070186109647872e+17,2.0073666197184614e+17,2.0077147443029565e+17
0.013333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000298e+17,2.000000000008373e+17,2.0000000003785978e+17,2.0000000059106627e+17,2.000000047011576e+17,2.0000002373534067e+17,2.000000869537008e+17,2.0000025190302877e+17,2.000006114241074e+17,2.0000129455234947e+17,2.0000246114960752e+17,2.0000429201690016e+17,2.0000697693603987e+17,2.000107028440076e+17,2.0001564365871942e+17,2.0002195253721376e+17,2.000297567569485e+17,2.0003915502388157e+17,2.0005021680637987e+17,2.000629832230646e+17,2.0007746902598013e+17,2.0009366527862138e+17,2.0011154240428778e+17,2.0013105335738067e+17,2.0015213673978336e+17,2.001747197425899e+17,2.0019872083945872e+17,2.0022405219266275e+17,2.0025062175811734e+17,2.002783350931098e+17,2.0030709688185827e+17,2.0033681220089485e+17,2.003673875498381e+17,2.003987316743741e+17,2.004307562079543e+17,2.0046337615740656e+17,2.0049651025575142e+17,2.0053008120330835e+17,2.005640158158687e+17,2.0059824509643328e+17,2.0063270424484848e+17,2.0066733261767437e+17,2.0070207364880317e+17,2.007368747397282e+17,2.0077168712693523e+17
0.016666666666666666,2e+17,2e+17,2e+17,2e+17,2.0000000000000317e+17,2.0000000000086752e+17,2.0000000003882698e+17,2.0000000060229917e+17,2.0000000477011958e+17,2.0000002401191155e+17,2.00000087777181e+17,2.0000025387853232e+17,2.0000061545708214e+17,2.0000130182932106e+17,2.0000247307309043e+17,2.000043101131439e+17,2.0000700275551712e+17,2.0001073787013494e+17,2.0001568923410947e+17,2.0002200981118378e+17,2.000298266540082e+17,2.0003923823056083e+17,2.000503137726968e+17,2.0006309417475728e+17,2.0007759398395888e+17,2.000938040826724e+17,2.0011169473869933e+17,2.001312187767692e+17,2.001523146939201e+17,2.0017490959945286e+17,2.0019892190606378e+17,2.0022426373346915e+17,2.0025084301097555e+17,2.0027856528283485e+17,2.0030733523158483e+17,2.003370579414112e+17,2.0036763992711533e+17,2.0039898995550922e+17,2.0043101968573923e+17,2.004636441537216e+17,2.004967821239639e+17,2.0053035632983958e+17,2.0056429362107264e+17,2.0059852503491267e+17,2.0063298580531715e+17,2.0066761532245837e+17,2.0070235705305997e+17,2.0073715843045024e+17,2.0077197072179392e+17
0.02,2e+17,2e+17,2e+17,2e+17,2.0000000000000336e+17,2.0000000000090576e+17,2.0000000004004656e+17,2.000000006164297e+17,2.0000000485673654e+17,2.0000002435891648e+17,2.000000888095873e+17,2.0000025635384714e+17,2.000006205082596e+17,2.0000131094049187e+17,2.0000248799805757e+17,2.0000433276000112e+17,2.0000703506226477e+17,2.0001078169063395e+17,2.000157462459738e+17,2.000220814502486e+17,2.0002991407501626e+17,2.0003934229076e+17,2.0005043503372374e+17,2.0006323291796134e+17,2.000777502347387e+17,2.00093977640117e+17,2.0011188520762454e+17,2.0013142559999856e+17,2.0015253718331226e+17,2.0017514696470915e+17,2.0019917328075782e+17,2.002245281980444e+17,2.0025111961267082e+17,2.002788530526422e+17,2.0030763319843523e+17,2.0033736514383475e+17,2.0036795542264614e+17,2.003993128281088e+17,2.004313490515029e+17,2.004639791651161e+17,2.0049712197282218e+17,2.0053070024931664e+17,2.0056464088674147e+17,2.0059887496515763e+17,2.006333377611601e+17,2.0066796870693395e+17,2.0070271131023866e+17,2.0073751304419222e+17,2.0077232521430326e+17
0.023333333333333334,2e+17,2e+17,2e+17,2e+17,2.0000000000000362e+17,2.000000000009524e+17,2.0000000004152573e+17,2.0000000063351805e+17,2.0000000496128643e+17,2.000000247772202e+17,2.0000009005296394e+17,2.000002593329404e+17,2.0000062658429274e+17,2.000013218958489e+17,2.0000250593826877e+17,2.0000435997519126e+17,2.000070738779005e+17,2.0001083433074653e+17,2.0001581472274333e+17,2.0002216748548714e+17,2.000300190531028e+17,2.0003946723905088e+17,2.000505806248838e+17,2.0006339948840243e+17,2.0007793781385533e+17,2.0009418598587213e+17,2.0011211384499894e+17,2.0013167385972486e+17,2.0015280423910013e+17,2.001754318678026e+17,2.001994749911576e+17,2.0022484561209133e+17,2.002514515869427e+17,2.002791984242904e+17,2.003079908021955e+17,2.003377338260089e+17,2.0036833405237834e+17,2.0039970030628528e+17,2.0043174431759267e+17,2.0046438120224976e+17,2.0049752981138096e+17,2.0053111296927478e+17,2.0056505761897818e+17,2.0059929489192605e+17,2.006337601158765e+17,2.006683927734264e+17,2.0070313642157302e+17,2.00737938581176e+17,2.007727506037498e+17
0.02666666666666667,2e+17,2e+17,2e+17,2e+17,2.0000000000000394e+17,2.000000000010077e+17,2.000000000432731e+17,2.0000000065363683e+17,2.0000000508410442e+17,2.0000002526786413e+17,2.0000009150977088e+17,2.0000026282058326e+17,2.0000063369317878e+17,2.0000133470739264e+17,2.0000252691025338e+17,2.0000439177999552e+17,2.000071192283826e+17,2.0001089582077837e+17,2.0001589469854835e+17,2.000222679542044e+17,2.000301416280318e+17,2.0003961311692483e+17,2.0005075058868726e+17,2.0006359392895158e+17,2.0007815676394973e+17,2.000944291618345e+17,2.0011238069153987e+17,2.0013196359512918e+17,2.0015311589864477e+17,2.001757643440578e+17,2.0019982707039478e+17,2.0022521600644454e+17,2.002518389622697e+17,2.0027960142388067e+17,2.0030840806660003e+17,2.0033816400933712e+17,2.003687758354409e+17,2.0040015240696547e+17,2.004322054988175e+17,2.004648502779069e+17,2.004980056504989e+17,2.005315944987499e+17,2.005655438251002e+17,2.0059978482092163e+17,2.006342528736601e+17,2.0066888752472096e+17,2.0070363238853888e+17,2.007384350416635e+17,2.0077324688927344e+17
0.030000000000000002,2e+17,2e+17,2e+17,2e+17,2.000000000000043e+17,2.000000000010723e+17,2.0000000004529888e+17,2.0000000067687146e+17,2.0000000522558378e+17,2.0000002583206858e+17,2.0000009318288755e+17,2.0000026682235622e+17,2.0000064184426653e+17,2.000013493891459e+17,2.0000255093331978e+17,2.000044281992664e+17,2.000071711440191e+17,2.0001096619610733e+17,2.0001598621322576e+17,2.000223828999377e+17,2.0003028184620544e+17,2.0003977997279546e+17,2.000509449747329e+17,2.0006381628962528e+17,2.0007840713476726e+17,2.0009470721687853e+17,2.0011268579474394e+17,2.0013229485191402e+17,2.001534722055241e+17,2.0017614443467587e+17,2.0020022955711136e+17,2.0022563941706582e+17,2.0025228177186454e+17,2.0028006208185235e+17,2.0030888501932688e+17,2.0033865571877834e+17,2.003692807941394e+17,2.0040066914988614e+17,2.0043273261244387e+17,2.0046538640699242e+17,2.004985495028349e+17,2.005321448482746e+17,2.0056609951363594e+17,2.0060034475879066e+17,2.006348160393959e+17,2.0066945296406016e+17,2.0070419921285152e+17,2.0073900242595427e+17,2.0077381406986515e+17
